min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1231	128653	124452	128188	127027	269	4944	123170
1230	128739	124533	128273	127112	269	4948	123251
1229	128834	124624	128367	127205	270	4950	123342
1228	128932	124717	128463	127297	274	4955	123431
1227	129027	124807	128558	127390	274	4962	123519
1226	129125	124899	128654	127482	276	4969	123607
1225	129216	124981	128743	127572	278	4977	123688
1224	129308	125066	128835	127664	278	4984	123773
1223	129398	125152	128925	127753	278	4989	123858
1222	129505	125256	129032	127859	278	4993	123961
1221	129600	125349	129126	127952	278	4995	124053
1220	129685	125433	129211	128034	278	4999	124134
1219	129785	125526	129310	128132	280	5005	124226
1218	129866	125601	129391	128212	281	5010	124301
1217	129967	125698	129492	128309	281	5018	124394
1216	130069	125794	129591	128408	281	5024	124488
1215	130174	125895	129695	128512	281	5027	124589
1214	130273	125990	129794	128609	281	5033	124682
1213	130366	126080	129887	128701	281	5037	124771
1212	130473	126179	129992	128805	281	5044	124869
1211	130584	126287	130103	128915	281	5048	124976
1210	130676	126375	130194	129006	281	5051	125064
1209	130768	126465	130286	129096	281	5055	125152
1208	130862	126557	130379	129189	281	5056	125244
1207	130945	126636	130459	129266	283	5062	125318
1206	131023	126711	130537	129343	283	5066	125392
1205	131108	126791	130622	129427	283	5072	125471
1204	131171	126851	130684	129488	283	5075	125530
1203	131253	126928	130765	129569	284	5080	125606
1202	131326	126997	130835	129637	285	5084	125672
1201	131418	127087	130927	129726	285	5089	125759
1200	131525	127188	131033	129832	285	5097	125858
1199	131609	127266	131116	129914	285	5103	125935
1198	131683	127337	131189	129987	285	5105	126006
1197	131764	127417	131270	130067	285	5107	126085
1196	131863	127514	131368	130165	285	5108	126182
1195	131953	127603	131457	130252	285	5113	126267
1194	132025	127672	131527	130322	285	5114	126336
1193	132111	127752	131611	130405	286	5120	126414
1192	132192	127830	131692	130486	286	5123	126492
1191	132291	127922	131789	130582	287	5130	126582
1190	132367	127994	131864	130655	288	5133	126653
1189	132456	128078	131953	130743	288	5139	126736
1188	132547	128161	132044	130831	289	5148	126817
1187	132626	128237	132123	130907	289	5154	126890
1186	132715	128323	132212	130995	289	5158	126975
1185	132793	128397	132289	131072	289	5161	127049
1184	132876	128478	132372	131152	289	5166	127127
